香港,#genre#
天津卫视,http://222.217.243.135:8181/tsfile/live/0135_1.m3u8
四川卫视,http://222.217.243.135:8181/tsfile/live/0123_1.m3u8
浙江卫视,http://222.217.243.135:8181/tsfile/live/0124_1.m3u8
重庆卫视,http://222.217.243.135:8181/tsfile/live/0142_1.m3u8
江西卫视 高清,http://222.217.243.135:8181/tsfile/live/0138_1.m3u8
广州台 高清,http://222.217.243.135:8181/tsfile/live/0115_1.m3u8
佛山影视 高清,http://222.217.243.135:8181/tsfile/live/0139_1.m3u8
经典电影,http://222.217.243.135:8181/tsfile/live/0143_1.m3u8
广州影视 高清,http://222.217.243.135:8181/tsfile/live/0131_1.m3u8
辽宁卫视,http://222.217.243.135:8181/tsfile/live/0121_1.m3u8
宁夏卫视,http://222.217.243.135:8181/tsfile/live/0112_1.m3u8
新疆卫视,http://222.217.243.135:8181/tsfile/live/0110_1.m3u8
甘肃卫视,http://222.217.243.135:8181/tsfile/live/0141_1.m3u8
延边卫视,http://222.217.243.135:8181/tsfile/live/1036_1.m3u8
吉林卫视,http://222.217.243.135:8181/tsfile/live/0116_1.m3u8
CCTV9-纪录,http://222.217.243.135:8181/tsfile/live/0009_1.m3u8
广东珠江,http://222.217.243.135:8181/tsfile/live/1039_1.m3u8
广东新闻,http://222.217.243.135:8181/tsfile/live/1040_1.m3u8
广东体育,http://222.217.243.135:8181/tsfile/live/1041_1.m3u8
CCTV3-综艺,http://222.217.243.135:8181/tsfile/live/0003_1.m3u8
CCTV5-体育,http://222.217.243.135:8181/tsfile/live/0005_1.m3u8
CCTV6-电影,http://222.217.243.135:8181/tsfile/live/0006_1.m3u8
CCTV8-电视剧,http://222.217.243.135:8181/tsfile/live/0008_1.m3u8
珠江电影,http://222.217.243.135:8181/tsfile/live/1046_1.m3u8
动作电影,http://222.217.243.135:8181/tsfile/live/1047_1.m3u8
廉江公共,http://222.217.243.135:8181/tsfile/live/1048_1.m3u8
翡翠台,http://222.217.243.135:8181/tsfile/live/1049_1.m3u8
南方1,http://222.217.243.135:8181/tsfile/live/1050_1.m3u8
南方3,http://222.217.243.135:8181/tsfile/live/1051_1.m3u8
南方4,http://222.217.243.135:8181/tsfile/live/1052_1.m3u8
南方5,http://222.217.243.135:8181/tsfile/live/1053_1.m3u8
青海卫视,http://222.217.243.135:8181/tsfile/live/0140_1.m3u8
西藏卫视,http://222.217.243.135:8181/tsfile/live/0111_1.m3u8
江苏卫视,http://222.217.243.135:8181/tsfile/live/0127_1.m3u8
卡酷动画,http://222.217.243.135:8181/tsfile/live/1057_1.m3u8
CCTV2-财经,http://222.217.243.135:8181/tsfile/live/0002_1.m3u8
DTV1,http://222.217.243.135:8181/tsfile/live/1062_1.m3u8
DTV2,http://222.217.243.135:8181/tsfile/live/1063_1.m3u8
DTV3,http://222.217.243.135:8181/tsfile/live/1064_1.m3u8
DTV4,http://222.217.243.135:8181/tsfile/live/1065_1.m3u8
测试8,http://222.217.243.135:8181/tsfile/live/1066_1.m3u8
测试9,http://222.217.243.135:8181/tsfile/live/1067_1.m3u8
CCTV1-综合,http://222.217.243.135:8181/tsfile/live/0001_1.m3u8
预留2,http://222.217.243.135:8181/tsfile/live/1069_1.m3u8
本港台,http://222.217.243.135:8181/tsfile/live/1070_1.m3u8
测试5,http://222.217.243.135:8181/tsfile/live/1073_1.m3u8
测试6,http://222.217.243.135:8181/tsfile/live/1074_1.m3u8
测试7,http://222.217.243.135:8181/tsfile/live/1075_1.m3u8
广东卫视,http://222.217.243.135:8181/tsfile/live/0125_2.m3u8
凤凰资讯 高清,http://222.217.243.135:8181/tsfile/live/1000_1.m3u8
凤凰中文 高清,http://222.217.243.135:8181/tsfile/live/1001_1.m3u8
凤凰香港 高清,http://222.217.243.135:8181/tsfile/live/1002_1.m3u8
湖南卫视,http://222.217.243.135:8181/tsfile/live/0128_1.m3u8
金鹰卡通,http://222.217.243.135:8181/tsfile/live/1003_1.m3u8
星空卫视,http://222.217.243.135:8181/tsfile/live/1004_1.m3u8
中国MTV,http://222.217.243.135:8181/tsfile/live/1006_1.m3u8
风云剧场,http://222.217.243.135:8181/tsfile/live/0113_1.m3u8
云南卫视,http://222.217.243.135:8181/tsfile/live/0119_1.m3u8
CCTV7-军农,http://222.217.243.135:8181/tsfile/live/0007_1.m3u8
CCTV10-科教,http://222.217.243.135:8181/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://222.217.243.135:8181/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://222.217.243.135:8181/tsfile/live/0012_1.m3u8
CCTV15-音乐,http://222.217.243.135:8181/tsfile/live/0015_1.m3u8





浙江电信,#genre#
浙江经济生活,http://122.224.232.226:8888/rtp/233.50.201.133:5140
浙江教育,http://122.224.232.226:8888/rtp/233.50.201.134:5140
浙江民生,http://122.224.232.226:8888/rtp/233.50.201.136:5140
浙江news,http://122.224.232.226:8888/rtp/233.50.201.137:5140
浙江少儿,http://122.224.232.226:8888/rtp/233.50.201.138:5140
CCTV1,http://122.224.232.226:8888/rtp/233.50.201.118:5140
CCTV2,http://122.224.232.226:8888/rtp/233.50.201.119:5140
CCTV3,http://122.224.232.226:8888/rtp/233.50.201.196:5140
CCTV4,http://122.224.232.226:8888/rtp/233.50.201.4:5140
CCTV5,http://122.224.232.226:8888/rtp/233.50.201.197:5140
CCTV5+,http://122.224.232.226:8888/rtp/233.50.201.220:5140
CCTV6,http://122.224.232.226:8888/rtp/233.50.201.198:5140
CCTV7,http://122.224.232.226:8888/rtp/233.50.201.120:5140
CCTV8,http://122.224.232.226:8888/rtp/233.50.201.199:5140
CCTV9,http://122.224.232.226:8888/rtp/233.50.201.121:5140
CCTV10,http://122.224.232.226:8888/rtp/233.50.201.122:5140
CCTV11,http://122.224.232.226:8888/rtp/233.50.201.11:5140
CCTV12,http://122.224.232.226:8888/rtp/233.50.201.123:5140
CCTV13,http://122.224.232.226:8888/rtp/233.50.201.246:5140
CCTV14,http://122.224.232.226:8888/rtp/233.50.201.124:5140
CCTV15,http://122.224.232.226:8888/rtp/233.50.201.15:5140
CCTV16 4k,http://122.224.232.226:8888/rtp/233.50.201.63:5140
CCTV16,http://122.224.232.226:8888/rtp/233.50.201.192:5140
CCTV17,http://122.224.232.226:8888/rtp/233.50.201.35:5140
浙江卫视,http://122.224.232.226:8888/rtp/233.50.201.100:5140
深圳卫视,http://122.224.232.226:8888/rtp/233.50.201.101:5140
广东卫视,http://122.224.232.226:8888/rtp/233.50.201.102:5140
湖南卫视,http://122.224.232.226:8888/rtp/233.50.201.103:5140
天津卫视,http://122.224.232.226:8888/rtp/233.50.201.104:5140
山东卫视,http://122.224.232.226:8888/rtp/233.50.201.105:5140
江苏卫视,http://122.224.232.226:8888/rtp/233.50.201.106:5140
北京卫视,http://122.224.232.226:8888/rtp/233.50.201.107:5140
四川卫视,http://122.224.232.226:8888/rtp/233.50.201.139:5140
河北卫视,http://122.224.232.226:8888/rtp/233.50.201.140:5140
辽宁卫视,http://122.224.232.226:8888/rtp/233.50.201.141:5140
贵州卫视,http://122.224.232.226:8888/rtp/233.50.201.142:5140
重庆卫视,http://122.224.232.226:8888/rtp/233.50.201.143:5140
河南卫视,http://122.224.232.226:8888/rtp/233.50.201.144:5140
江西卫视,http://122.224.232.226:8888/rtp/233.50.201.145:5140
东南卫视,http://122.224.232.226:8888/rtp/233.50.201.146:5140
安徽卫视,http://122.224.232.226:8888/rtp/233.50.201.113:5140
湖北卫视,http://122.224.232.226:8888/rtp/233.50.201.114:5140
黑龙江卫视,http://122.224.232.226:8888/rtp/233.50.201.115:5140
东方卫视,http://122.224.232.226:8888/rtp/233.50.201.125:5140
内蒙古卫视,http://122.224.232.226:8888/rtp/233.50.201.148:5140
甘肃卫视,http://122.224.232.226:8888/rtp/233.50.201.149:5140
海南卫视,http://122.224.232.226:8888/rtp/233.50.201.55:5140
青海卫视,http://122.224.232.226:8888/rtp/233.50.201.65:5140
西藏卫视,http://122.224.232.226:8888/rtp/233.50.201.70:5140
陕西卫视,http://122.224.232.226:8888/rtp/233.50.201.59:5140
兵团卫视,http://122.224.232.226:8888/rtp/233.50.201.72:5140
山西卫视,http://122.224.232.226:8888/rtp/233.50.201.51:5140
宁夏卫视,http://122.224.232.226:8888/rtp/233.50.201.57:5140
广西卫视,http://122.224.232.226:8888/rtp/233.50.201.49:5140
云南卫视,http://122.224.232.226:8888/rtp/233.50.201.46:5140
吉林卫视,http://122.224.232.226:8888/rtp/233.50.201.48:5140
中国教育一套,http://122.224.232.226:8888/rtp/233.50.201.75:5140
中国教育四套,http://122.224.232.226:8888/rtp/233.50.201.172:5140
凤凰卫视中文,http://122.224.232.226:8888/rtp/233.50.200.191:5140
凤凰卫视资讯,http://122.224.232.226:8888/rtp/233.50.200.192:5140
CGTN,http://122.224.232.226:8888/rtp/233.50.201.126:5140
CGTN-西班牙语,http://122.224.232.226:8888/rtp/233.50.201.36:5140
CGTN-法语,http://122.224.232.226:8888/rtp/233.50.201.37:5140
CGTN-阿拉伯语,http://122.224.232.226:8888/rtp/233.50.201.38:5140
CGTN-俄语,http://122.224.232.226:8888/rtp/233.50.201.39:5140
钱江频道,http://122.224.232.226:8888/rtp/233.50.201.132:5140
杭州1综合,http://122.224.232.226:8888/rtp/233.50.201.173:5140
杭州2明珠,http://122.224.232.226:8888/rtp/233.50.201.174:5140
杭州3生活,http://122.224.232.226:8888/rtp/233.50.201.175:5140
杭州4影视,http://122.224.232.226:8888/rtp/233.50.201.176:5140
杭州5青少,http://122.224.232.226:8888/rtp/233.50.201.177:5140
杭州导视,http://122.224.232.226:8888//rtp/233.50.201.182:5140
极速汽车,http://122.224.232.226:8888/rtp/233.50.201.208:5140
宁波TV1,http://122.224.232.226:8888/rtp/233.50.201.168:5140
宁波TV2,http://122.224.232.226:8888/rtp/233.50.201.178:5140
宁波TV3,http://122.224.232.226:8888/rtp/233.50.201.179:5140
宁波TV4,http://122.224.232.226:8888/rtp/233.50.201.180:5140
宁波TV5,http://122.224.232.226:8888/rtp/233.50.201.181:5140
温州新闻,http://122.224.232.226:8888/rtp/233.50.201.87:5140
衢州新闻,http://122.224.232.226:8888/rtp/233.50.201.155:5140
绍兴新闻,http://122.224.232.226:8888/rtp/233.50.201.156:5140
台州-1,http://122.224.232.226:8888/rtp/233.50.201.157:5140
湖州公共,http://122.224.232.226:8888/rtp/233.50.201.158:5140
金华新闻,http://122.224.232.226:8888/rtp/233.50.201.161:5140
丽水新闻,http://122.224.232.226:8888/rtp/233.50.201.162:5140
嘉兴新闻,http://122.224.232.226:8888/rtp/233.50.201.163:5140
桐乡新闻,http://122.224.232.226:8888/rtp/233.50.201.169:5140
杭州导视,http://122.224.232.226:8888/rtp/233.50.201.182:5140
之江记录,http://122.224.232.226:8888/rtp/233.50.202.25:5140
优优宝贝,http://122.224.232.226:8888/rtp/233.50.202.24:5140
YMG新闻,http://122.224.232.226:8888//rtp/233.50.201.159:5140
法制天地,http://122.224.232.226:8888/rtp/233.50.201.191:5140
金鹰卡通,http://122.224.232.226:8888/rtp/233.50.201.73:5140
哈哈炫动,http://122.224.232.226:8888/rtp/233.50.201.74:5140
动漫秀场,http://122.224.232.226:8888/rtp/233.50.201.184:5140
游戏风云,http://122.224.232.226:8888/rtp/233.50.201.183:5140
乐游,http://122.224.232.226:8888/rtp/233.50.201.185:5140
金色学堂,http://122.224.232.226:8888/rtp/233.50.201.186:5140
生活时尚,http://122.224.232.226:8888/rtp/233.50.201.187:5140
茶频道,http://122.224.232.226:8888/rtp/233.50.201.188:5140
快乐垂钓,http://122.224.232.226:8888/rtp/233.50.201.109:5140
BesTV,http://122.224.232.226:8888/rtp/233.50.201.201:5140
中国蓝直播,http://122.224.232.226:8888/rtp/233.50.201.193:5140
新视觉HD,http://122.224.232.226:8888/rtp/233.50.201.244:5140
欢笑剧场,http://122.224.232.226:8888/rtp/233.50.201.189:5140
都市剧场,http://122.224.232.226:8888/rtp/233.50.201.190:5140
电视购物,http://122.224.232.226:8888/rtp/233.50.201.248:5140
家有购物,http://122.224.232.226:8888/rtp/233.50.201.90:5140
游戏频道,http://122.224.232.226:8888/rtp/233.50.201.207:5140
游戏频道,http://122.224.232.226:8888/rtp/233.50.201.215:5140
未知频道,http://122.224.232.226:8888/rtp/233.50.201.224:5140
中国蓝直播,http://122.224.232.226:8888/rtp/233.50.201.108:5140
浙江之声广播,http://122.224.232.226:8888/rtp/233.50.201.79:5140
浙江新闻广播,http://122.224.232.226:8888/rtp/233.50.201.80:5140
经济频道广播,http://122.224.232.226:8888/rtp/233.50.201.81:5140
音乐调频广播,http://122.224.232.226:8888/rtp/233.50.201.82:5140
交通之声广播,http://122.224.232.226:8888/rtp/233.50.201.83:5140
旅游之声广播,http://122.224.232.226:8888/rtp/233.50.201.84:5140
城市之声广播,http://122.224.232.226:8888/rtp/233.50.201.85:5140
民生资讯广播,http://122.224.232.226:8888/rtp/233.50.201.86:5140

湖南电信,#genre#
湖南卫视FHD,http://lede.medahl.com:10098/udp/239.76.245.115:1234
湖南经视FHD,http://lede.medahl.com:10098/udp/239.76.245.116:1234
湖南都市FHD,http://lede.medahl.com:10098/udp/239.76.245.117:1234
湖南电视剧FHD,http://lede.medahl.com:10098/udp/239.76.245.118:1234
湖南电影FHD,http://lede.medahl.com:10098/udp/239.76.245.119:1234
湖南娱乐FHD,http://lede.medahl.com:10098/udp/239.76.245.121:1234
湖南国际FHD,http://lede.medahl.com:10098/udp/239.76.245.124:1234
湖南公共FHD,http://lede.medahl.com:10098/udp/239.76.245.123:1234
CCTV1HD,http://lede.medahl.com:10098/udp/239.76.245.51:1234
CCTV1HD,http://lede.medahl.com:10098/udp/239.76.246.151:1234
CCTV2HD,http://lede.medahl.com:10098/udp/239.76.246.152:1234
CCTV3HD,http://lede.medahl.com:10098/udp/239.76.246.153:1234
CCTV4HD,http://lede.medahl.com:10098/udp/239.76.245.195:1234
CCTV4HD,http://lede.medahl.com:10098/udp/239.76.246.154:1234
CCTV5HD,http://lede.medahl.com:10098/udp/239.76.246.155:1234
CCTV5+hd,http://lede.medahl.com:10098/udp/239.76.246.168:1234
CCTV6HD,http://lede.medahl.com:10098/udp/239.76.246.156:1234
CCTV7HD,http://lede.medahl.com:10098/udp/239.76.246.157:1234
CCTV8HD,http://lede.medahl.com:10098/udp/239.76.246.158:1234
CCTV9HD,http://lede.medahl.com:10098/udp/239.76.246.159:1234
CCTV10HD,http://lede.medahl.com:10098/udp/239.76.246.160:1234
CCTV11HD,http://lede.medahl.com:10098/udp/239.76.245.251:1234
CCTV12HD,http://lede.medahl.com:10098/udp/239.76.246.162:1234
CCTV13HD,http://lede.medahl.com:10098/udp/239.76.246.93:1234
CCTV14HD,http://lede.medahl.com:10098/udp/239.76.246.164:1234
CCTV15HD,http://lede.medahl.com:10098/udp/239.76.245.252:1234
CCTV16HD,http://lede.medahl.com:10098/udp/239.76.246.98:1234
CCTV17HD,http://lede.medahl.com:10098/udp/239.76.245.238:1234
CCTV16 4K,http://lede.medahl.com:10098/udp/239.76.246.214:1234
CCTV16 4k,http://lede.medahl.com:10098/udp/239.76.246.224:1234
CCTV16 4kHDR,http://lede.medahl.com:10098/udp/239.76.246.230:1234
CCTV4欧洲HD,http://lede.medahl.com:10098/udp/239.76.246.95:1234
CCTV4美洲HD,http://lede.medahl.com:10098/udp/239.76.246.96:1234
CGTN英语HD,http://lede.medahl.com:10098/udp/239.76.245.67:1234
CGTN记录HD,http://lede.medahl.com:10098/udp/239.76.245.66:1234
CGTN俄语,http://lede.medahl.com:10098/udp/239.76.246.86:1234
CGTN法语,http://lede.medahl.com:10098/udp/239.76.246.87:1234
CGTN西班牙语,http://lede.medahl.com:10098/udp/239.76.246.88:1234
体育,http://lede.medahl.com:10098/udp/239.76.246.136:1234
金鹰卡通FHD,http://lede.medahl.com:10098/udp/239.76.245.120:1234
金鹰纪实FHD,http://lede.medahl.com:10098/udp/239.76.245.122:1234
快乐垂钓FHD,http://lede.medahl.com:10098/udp/239.76.245.127:1234
湖南教育HD,http://lede.medahl.com:10098/udp/239.76.245.233:1234
茶频道HD,http://lede.medahl.com:10098/udp/239.76.245.239:1234
广东卫视HD,http://lede.medahl.com:10098/udp/239.76.245.189:1234
东南卫视HD,http://lede.medahl.com:10098/udp/239.76.245.190:1234
安徽卫视HD,http://lede.medahl.com:10098/udp/239.76.245.196:1234
辽宁卫视HD,http://lede.medahl.com:10098/udp/239.76.245.197:1234
江西卫视HD,http://lede.medahl.com:10098/udp/239.76.245.225:1234
河北卫视HD,http://lede.medahl.com:10098/udp/239.76.245.199:1234
贵州卫视HD,http://lede.medahl.com:10098/udp/239.76.245.198:1234
江苏卫视HD,http://lede.medahl.com:10098/udp/239.76.246.181:1234
东方卫视HD,http://lede.medahl.com:10098/udp/239.76.246.186:1234
浙江卫视HD,http://lede.medahl.com:10098/udp/239.76.246.182:1234
北京卫视HD,http://lede.medahl.com:10098/udp/239.76.246.184:1234
天津卫视HD,http://lede.medahl.com:10098/udp/239.76.246.185:1234
深圳卫视HD,http://lede.medahl.com:10098/udp/239.76.246.188:1234
湖北卫视HD,http://lede.medahl.com:10098/udp/239.76.246.193:1234
山东卫视HD,http://lede.medahl.com:10098/udp/239.76.246.195:1234
黑龙江卫视HD,http://lede.medahl.com:10098/udp/239.76.246.200:1234
吉林卫视HD,http://lede.medahl.com:10098/udp/239.76.246.201:1234
河南卫视HD,http://lede.medahl.com:10098/udp/239.76.246.202:1234
海南卫视HD,http://lede.medahl.com:10098/udp/239.76.246.203:1234
四川卫视HD,http://lede.medahl.com:10098/udp/239.76.246.91:1234
重庆卫视HD,http://lede.medahl.com:10098/udp/239.76.246.92:1234
甘肃卫视HD,http://lede.medahl.com:10098/udp/239.76.246.94:1234
中国教育1HD,http://lede.medahl.com:10098/udp/239.76.245.192:1234
芒果乐搜,http://lede.medahl.com:10098/udp/239.76.245.200:1234
芒果乐活,http://lede.medahl.com:10098/udp/239.76.245.201:1234
长沙女姓HD,http://lede.medahl.com:10098/udp/239.76.245.23:1234
长沙影视HD,http://lede.medahl.com:10098/udp/239.76.245.204:1234
湘西综合,http://lede.medahl.com:10098/udp/239.76.245.208:1234
湘西综合,http://lede.medahl.com:10098/udp/239.76.245.209:1234
河南梨园HD,http://lede.medahl.com:10098/udp/239.76.245.179:1234
文物宝库HD,http://lede.medahl.com:10098/udp/239.76.245.180:1234
武术世界HD,http://lede.medahl.com:10098/udp/239.76.245.181:1234
IPTV高清院线,http://lede.medahl.com:10098/udp/239.76.245.217:1234
芒果乐淘,http://lede.medahl.com:10098/udp/239.76.245.215:1234
IPTV抗战剧场,http://lede.medahl.com:10098/udp/239.76.245.218:1234
IPTV古装剧场,http://lede.medahl.com:10098/udp/239.76.245.219:1234
IPTV经典剧场,http://lede.medahl.com:10098/udp/239.76.245.221:1234
IPTV家庭剧场,http://lede.medahl.com:10098/udp/239.76.245.220:1234
IPTV广场舞,http://lede.medahl.com:10098/udp/239.76.245.134:1234
IPTV4k,http://lede.medahl.com:10098/udp/239.76.245.35:1234
IPTV电竞,http://lede.medahl.com:10098/udp/239.76.245.136:1234
张家界2HD,http://lede.medahl.com:10098/udp/239.76.245.235:1234
张家界综合HD,http://lede.medahl.com:10098/udp/239.76.245.234:1234
CHC动作电影,http://lede.medahl.com:10098/udp/239.76.245.243:1234
CHC高清电影,http://lede.medahl.com:10098/udp/239.76.245.242:1234
CHC家庭影院,http://lede.medahl.com:10098/udp/239.76.245.241:1234
快乐垂钓HD,http://lede.medahl.com:10098/udp/239.76.246.5:1234
凤凰资讯HD,http://lede.medahl.com:10098/udp/239.76.246.8:1234
凤凰中文HD,http://lede.medahl.com:10098/udp/239.76.246.7:1234
IPTV故事频道,http://lede.medahl.com:10098/udp/239.76.246.41:1234
