各省频道,#genre#
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/360p.m3u8
好易购,https://ali-m-l.cztv.com/channels/lantian/channel011/360p.m3u8
浙江之江记录,https://ali-m-l.cztv.com/channels/lantian/channel012/360p.m3u8
青岛新闻综合,http://hlspull.qtv.com.cn/gwepn2sr/channel/969b06fca3f82c40de59171b3eb9428c/index.m3u8
潍坊新闻综合,https://wfrtv-live-tz.wfcmw.cn:5443/live/wftv1.m3u8
潍坊经济生活,https://wfrtv-live-tz.wfcmw.cn:5443/live/wftv2.m3u8
潍坊影视综艺,https://wfrtv-live-tz.wfcmw.cn:5443/live/wftv3.m3u8
潍坊科教文旅,https://wfrtv-live-tz.wfcmw.cn:5443/live/wftv4.m3u8
沧州新闻综合,http://czlive.czgd.tv:85/live/xnyt.m3u8
沧州公共频道,http://czlive.czgd.tv:85/live/xnet.m3u8
河沧州影视娱乐,http://czlive.czgd.tv:85/live/xnst.m3u8
广西综艺旅游,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
广西综艺旅游,https://hls.cdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8
广西国际,https://hlscdn.liangtv.cn/live/0234c48e0bc24fe1b41b9999a253e581/1075ee38e04f490690f6a36a16e09c79.m3u8
广西国际,https://hls.cdn.liangtv.cn/live/0234c48e0bc24fe1b41b9999a253e581/1075ee38e04f490690f6a36a16e09c79.m3u8
桂林新闻综合,http://pull.gltvs.com/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
贺州综合频道,http://zhz.gxhzxw.com:2935/live/HZXW-HD/playlist.m3u8
横州新闻综合,http://live.nnnews.net/video/s10004-hztv-hd/index.m3u8
罗城综合,http://www.3jlc.cn/lctvlive/lcm.m3u8
罗城综合,http://111.12.75.177:9100/lctvlive/lch.m3u8
藤县综合,http://play.txdst.cn/live/txtv.m3u8
庄河综合频道,http://223.100.166.184:9090/hls/5T8gO1SYg/index.m3u8
泉州新闻综合,rtmp://live.qztv.cn/live/news
泉州闽南语,rtmp://live.qztv.cn/live/mny
泰兴新闻频道,http://sj.smarttaixing.com:1935/live/_definst_/txzb/playlist.m3u8
四川科教频道,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8
家有购物,http://stream1.jlntv.cn/jygw/playlist.m3u8
白山旅游生活,http://stream8.jlntv.cn/baishan2/sd/live.m3u8
松原公共频道,http://stream8.jlntv.cn/sytv2/sd/live.m3u8
长白山电视台,http://stream8.jlntv.cn/cbstv/sd/live.m3u8
延吉新闻综合,http://stream6.jlntv.cn/yj/playlist.m3u8
德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8
九台综合,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8
双阳综合,http://stream11.jlntv.cn/shuangyang/sd/live.m3u8
镇赉综合频道,http://stream6.jlntv.cn/zl/sd/live.m3u8
抚松综合频道,http://stream8.jlntv.cn/fs/sd/live.m3u8
江源综合频道,http://stream10.jlntv.cn/jiangyuantv/sd/live.m3u8
靖宇综合频道,http://stream8.jlntv.cn/jytv/sd/live.m3u8
临江综合频道,http://stream8.jlntv.cn/linjiang/sd/live.m3u8
敦化一套,http://stream8.jlntv.cn/dhtv/playlist.m3u8
珲春新闻综合,http://stream8.jlntv.cn/hctv/sd/live.m3u8
龙井综合,http://stream8.jlntv.cn/ljtv/sd/live.m3u8
公主岭综合,http://stream5.jlntv.cn/gzl/sd/live.m3u8
大安新闻综合,http://stream6.jlntv.cn/da/playlist.m3u8
洮南新闻综合,http://stream5.jlntv.cn/tn/sd/live.m3u8
通榆综合,http://stream6.jlntv.cn/ty/sd/live.m3u8
桦甸综合,http://stream10.jlntv.cn/huadian/sd/live.m3u8
磐石综合,http://stream5.jlntv.cn/ps/sd/live.m3u8
舒兰新闻综合,http://stream8.jlntv.cn/shulan/sd/live.m3u8
永吉综合频道,http://stream10.jlntv.cn/yongji/sd/live.m3u8
东丰综合,http://stream5.jlntv.cn/df/sd/live.m3u8
东辽综合,http://stream5.jlntv.cn/dl/sd/live.m3u8
梨树综合,http://stream6.jlntv.cn/ls/sd/live.m3u8
双辽综合,http://stream5.jlntv.cn/sl/sd/live.m3u8
伊通综合,http://stream6.jlntv.cn/yt/sd/live.m3u8
扶余综合,http://stream6.jlntv.cn/fy/sd/live.m3u8
乾安综合,http://stream6.jlntv.cn/qa/sd/live.m3u8
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8
柳河综合,http://stream5.jlntv.cn/lh/sd/live.m3u8
通化县综合,http://stream5.jlntv.cn/thx/sd/live.m3u8
图们综合,http://stream6.jlntv.cn/tm/sd/live.m3u8
汪清综合,http://stream5.jlntv.cn/wq/sd/live.m3u8
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/playlist.m3u8
荆门科技文旅,http://stream.jmtv.com.cn/ggsh/playlist.m3u8
保定新闻综合,http://live.bdgdw.com/channel1/playlist.m3u8
保定公共频道,http://live.bdgdw.com/channel2/playlist.m3u8
保定生活健康,http://live.bdgdw.com/channel3/playlist.m3u8
锦州新闻综合,http://stream.jzgbdst.cn/1/playlist.m3u8
锦州教育频道,http://stream.jzgbdst.cn/2/playlist.m3u8

港澳湾,#genre#
港台电视31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
港台电视32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
港台电视33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
港台电视34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
港台电视35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
TVB华丽翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8 
TVB星河频道,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8 
TVB直播台,https://edge6a.v2h-cdn.com/liveshow/liveshow.stream/chunklist.m3u8 
TVB功夫台,https://edge6a.v2h-cdn.com/asia_action/asia_action.stream/chunklist.m3u8 
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
J2,http://1.65.195.85:9981/stream/channelid/2082072924?profile=pass
TVB明珠台,http://radius.8866.org:800/hls/84/index.m3u8
香港卫视文旅,http://ali-play.lezhibo.com/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
TVB无线新闻,http://live.cooltv.top/tv/tvb.php?id=0
TVB无线财经体育资讯,http://live.cooltv.top/tv/tvb.php?id=2&hq
TVB无线财经体育资讯,rtmp://f13h.mine.nu/sat/hk031
有线18台,rtmp://f13h.mine.nu/sat/hk021
澳视澳门,http://61.244.22.5/ch1/ch1.live/index.m3u8
澳视葡文,http://61.244.22.5/ch2/ch2.live/index.m3u8
澳视葡文1,http://61.244.22.5/ch2/ch2.live/chunklist_w1632175875.m3u8
澳门Macau,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳门体育,http://61.244.22.5/ch4/sport_ch4.live/index.m3u8
澳门资讯,http://61.244.22.5/ch5/info_ch5.live/index.m3u8
澳门综艺,http://61.244.22.5/ch6/hd_ch6.live/index.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
TVBS新闻,rtmp://f13h.mine.nu/sat/tv551
MOMO综合,rtmp://f13h.mine.nu/sat/tv761
台视,rtmp://f13h.mine.nu/sat/tv071
华视,rtmp://f13h.mine.nu/sat/tv111
民视,rtmp://f13h.mine.nu/sat/tv051
东森财经新闻,rtmp://f13h.mine.nu/sat/tv571
东森超视,rtmp://f13h.mine.nu/sat/tv331
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
ELTA体育1,rtmp://f13h.mine.nu/sat/md051
ELTA体育2,rtmp://f13h.mine.nu/sat/md041
中视,rtmp://f13h.mine.nu/sat/tv091
TVBS欢乐,rtmp://f13h.mine.nu/sat/tv421
世新综合,http://61.58.60.230:9319/live/49.m3u8
tvbs新闻,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
东森美洲,http://38.64.72.148/hls/modn/list/2016/chunklist0.m3u8
东森美洲卫视,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
天映经典,http://185.243.7.154/play/live.php?mac=00:1A:79:21:A3:33&stream=571182&extension=ts&play_token=uKjIerz90i
中天亚洲,http://185.243.7.154/play/live.php?mac=00:1A:79:21:A3:33&stream=571212&extension=ts
东森超视34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
唯心电视,https://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
好消息,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
好消息2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
东森美洲新闻,http://udnhls.skilldns.com:80/dsxw.m3u8
东森美洲中国,http://38.64.72.148/hls/modn/list/2003/chunklist0.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
大爱一台,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
国会1,http://61.58.60.230:9319/live/123.m3u8
国会2,http://61.58.60.230:9319/live/124.m3u8
星空卫视,http://yuju666888.x3322.net:808/hls/110/index.m3u8
澳门莲花,http://moss.hk3.345888.xyz.cdn.cloudflare.net/11/lotus.php
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰卫视,https://epg.pw/stream/b850d009416708e00c7f0e46e98bc52183043982917605a539b2480085422f12.ctv
凤凰香港,http://jyjxy.7766.org:8811/hls/34/index.m3u8
